text,user_location,target
COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cu… https://t.co/hmEwE747WK,"Florida, USA",1
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/bfel6gyXIq",USA,0
"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/eu5g2djZYx","Baton Rouge, USA",0
"See this Instagram post by @facts.covid19 https://t.co/glmd51L1OJ 
facts.covid19 Deaths rates not rising in lockste… https://t.co/SeZieeSxAk","New York, NY USA",2
"Concealed Nation 1 Million Giveaway https://t.co/HaMym0cBe3 
I put my family's safety before all others, criminals… https://t.co/7QQxVLWqZd","Pennsylvania, USA",1
Four mayors reflect on their evolving response to the coronavirus pandemic https://t.co/TMqFfkPjcC  👈 click the lin… https://t.co/ZmqzTU7Nsv,"California, USA",2
"@princesscaro85 @NVGOP @marquezjesso @andylukechoi @FlocchiniAmanda @LaCubanaMisfit You should know better. Trump,… https://t.co/mEmjKjB4eN",USA,1
"#AR State Sen. Jason Rapert Preached at a Mask-Free Church; Now He Has COVID https://t.co/J9rcqicIHc 
I'm sorry--is… https://t.co/A6dvDYcP7i","Florida, USA",2
"Big Q: Parents: if you have flexibility to work from home or send your child to school, what would data/information… https://t.co/tw7Dz1V0OG","Texas, USA",1
Symptom Duration and Risk Factors for Delayed Return to Usual Health Among Outpatients with #COVID19 in a Multistat… https://t.co/wNUL5Bd5Ok,Baltimore MD USA,0
#COVID19 is the religion of 21st Century Jews fighting 21st Century Christian Evangelicals,"Massachusetts, USA",0
Cautious optimism? Arizona May be plateauing with #COVID19   Potential good news.  https://t.co/j20GOpHK04,"Massachusetts, USA",1
"Sad Reality: Hundreds of Cars line up drive thru Food Drive in Florida https://t.co/3pQoULuznu  

#COVID19","Florida, USA",0
"@LiamMcBaen They say, ""One is the loneliest number,"" anyway. 

#WearAMask #realmenwearmasks #toughguyswearmasks… https://t.co/sPEAaY1LXJ",USA,0
"Every time you demonize ""the left, Democrats, liberals"" and people who oppose you...you are REJECTING THE MAJORITY… https://t.co/JC89mIb2Jo","California, USA",0
"Another #ExGop-er 
Amazing that it took the #pandemic for her to regret her choice; but hey, better late than never… https://t.co/glFm9zcecO","South Florida, USA",1
"@BitcoinBehemoth Nope😉
#COVID19 #coronavirus #cantstopthetruth https://t.co/kJKYBfW5vm","Launch Pad, USA",2
@ckkirsch1 Comments on @andrewcuomo's mishandling of senior #COVID19 patients aren't politically motivated. They ar… https://t.co/7dorCM29I2,"Texas, USA #BackTheBlue",0
"@BernieSanders This guy gets it. 
#WearAMask #realmenwearmasks #toughguyswearmasks #MasksSaveLives… https://t.co/z60VFP3SKD",USA,2
"@denisear2017 @TomCottonAR Trump, #GOP &amp; @BetsyDeVosED are unfit for office. The plan? Return to school, church, wo… https://t.co/Rwz5b7tcJD",USA,2
#Coronavirus in #Andorra: There is a total of 52 confirmed deaths from #COVID19.,"Florida, USA",2
CDC changes COVID-19 guidance on how long people need to be isolated https://t.co/LqEQKBBQAN via @nbcnews #COVID19 #theyhavenoidea,"New Jersey, USA",0
Two students tested positive for coronavirus after taking the ACT at an Oklahoma high school… https://t.co/DRNa3Uq3th,"California, USA",1
"Another WWE employee has contracted COVID-19

Via @PWCDeez

#WWE #WrestleMania #COVID19 #Coronavirus

https://t.co/6sxCU0hn7a","North Carolina, USA",2
@NYCAudubon #Audubon #SaturdayMorning #SaturdayVibes #COVID19 #SaturdayThoughts #SaturdayMotivation #free shipping… https://t.co/VUTtHfSyPo,"Florida, USA",2
"The #OrangeBaboon wants to make sure we have over 150K dead from #COVID19 before the end of July!

7/24: 148490 dea… https://t.co/cOVtyFoRrL","Virginia, USA",0
"@forwardarc @realDonaldTrump @VP If the U.S. doesn’t lock down, we’re stupid, and will reap what we sowed. 
And I c… https://t.co/7hwD0gcNOt","Pennsylvania, USA",0
"so lets pack'em all into schools in late summer/fall, big mistake for now as young are always a major disease vecto… https://t.co/uCNLTAsTnU",Live Free or Die - NH USA,0
Mistake by Florida on child #COVID19  rate raises question: Can #Florida’s numbers be trusted? https://t.co/H19fDNDLMS,"South Florida, USA",1
Thankfully I am an epidemiologist working w/ #COVID19 on a daily basis &amp; recognized my symptoms right away. It also… https://t.co/EBdctvXd79,"Michigan, USA",1
Dear @realDonaldTrump There is little logic in your argument that more testing will result in more cases of… https://t.co/hm1WdWUxFK,"Florida, USA",1
TODAY - #COVID19 testing until 3pm - Burke High School https://t.co/G0mwLt7FtU,Charleston South Carolina USA,2
@realDonaldTrump @BrandonStraka @foxandfriends @PeteHegseth How is the golf game while #Americans are dying?  I so… https://t.co/AzAgKHIlUZ,Everywhere USA,2
Your Body is Their Weapon - We're all Patients Now https://t.co/Mfro1m6kMA  #COVID19 #coronavirus #pandemic #virus… https://t.co/eOrKPpWXsg,"Earth, USA",0
(R) Rep. Vern Buchanan dies from the #COVID19 #CoronaVirus https://t.co/9q1s3Obw3D,"Atlanta, GA USA",2
"How #COVID19 Will Change Work in General (and recruiting, specifically) via/ @ProactiveTalent #Recruiting… https://t.co/KWwLaPiuP5","Florida, USA",2
"@Pensmoc Man, you get better.
At least your sense of humor, is all good. 😊
The #coronavirus #COVID19 is NOT a hoax.… https://t.co/dTYCIvuU1u","Virginia, USA",1
"3 Proactive Response Strategies to #COVID19 #Business Challenges
- Same Products, Different Channel
- Same Infrastr… https://t.co/eQIP2tnqh5","Cambridge, MA, USA",1
"@DanRather @VetAction Amen.

The Trump administration and his inadequate appointees ignored early warnings, misled… https://t.co/3X0dyhnFlU",USA,0
Why is no one wearing a mask? I thought we weren't allowed to have parties and parades? So when you see more… https://t.co/wCCFQGMNiI,"San Juan, USA",1
"My new #facemask from @chicagotheband makes me smile! Mask up, friends! Stay safe and well. (Wonder if this allows… https://t.co/UxvXiYN6rZ","Lexington, KY USA 🇺🇸",1
"C.D.C. Calls On Schools to Reopen, Downplaying Coronavirus Risks https://t.co/7ElqAhk4p4  👈 click the link… https://t.co/3qDDuZWtYJ","California, USA",0
"Thanks to Yuqiang Liu, Laboratory Director at the State Key Laboratory of Crop Genetics &amp; Germplasm Enhancement of… https://t.co/K6A5wxCb1s","Billerica, MA USA",1
"So far...

#COVID19 #BackToSchool2020 #ReopeningSchools https://t.co/T5QruK7xOp","Wisconsin, USA",2
People of color are disproportionately exposed to toxic air pollutants — resulting in increased #COVID19 mortality… https://t.co/pBHmTFk27b,"California, USA",1
"Wake up America! 

New Jersey can close gym that defiantly stayed open amid #COVID19, judge rules:… https://t.co/0BZ4gRN9Rs","New York, USA",2
The @UniofOxford has been tracking the severity of #covid19 lockdowns and the results show that the response is not… https://t.co/LeGocrB1EJ,"Washington, USA",2
"Keep in mind that CDC says our numbers in US r actually 10x than reported due to lack of testing, weeks to get resu… https://t.co/pKfHJYdETG",World citizen USA 🇺🇸 🇨🇦 ,0
"Here is video from our ""#OpenGov During the #COVID19 Pandemic: Transparency Challenges in New England"" discussion f… https://t.co/Lsn3abFGJK","Massachusetts, USA",1
"#Coronavirus in #Nigeria: There is a total of 39,539 confirmed cases of #COVID19.","Florida, USA",2
@ArtValley818 How come you ain't ever see packs of young White men and women doing this nonsense??? In all my life… https://t.co/xbijO6qQlW,"San Juan, USA",0
"For me, that means presenting pretty femme, having a (pre-#COVID19!) pixie cut, wearing makeup when I want, not whe… https://t.co/PGZdjaMWt1","North Carolina, USA",1
@GOP @realDonaldTrump Yo-hooo bigots it is actually called #COVID19 but I like to call it the #TrumpVirus because h… https://t.co/hIPAWR2g8N,Everywhere USA,1
Such beautiful chaos! My midsummer garden is quite the metaphor for life at the moment. So many things to be gratef… https://t.co/LTqx20TTou,"Massachusetts, USA",1
The insanity of this situation is the crazy are now the sane ones and sane ones are now batshit crazy!? #COVID19… https://t.co/E5KOhwocQr,"9th Ring Of Hell, FL USA",0
"@TomCottonAR Trump, #GOP &amp; @BetsyDeVosED are unfit for office. The plan? Return to school, church, work - during… https://t.co/ZhLBgp054Y",USA,2
Just watched an ambulance roll up to hospital. 3 EMTs got out w/patient. Not 1 EMT wearing a mask. #COVID19 #ItsReal #Oklahoma,"Texas, USA",2
"@tedcruz Trump, #GOP &amp; @BetsyDeVosED are unfit for office. The plan? Return to school, church, work - during… https://t.co/TaqlojUYFR",USA,2
"In case you missed it, here’s the now retracted article that triggered #MedBikini...
https://t.co/E9cTVccOXL

An ID… https://t.co/iqFfoRsHWk","Chicago, USA",0
